,Unnamed: 0,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,0,182D291222,TB,97.21,97.21,97.21,97.21,97.21,97.21,100,9721.0,21-OCT-2022,1,IN002022Y138,
1,1,182D300323,TB,96.5,96.5,96.5,96.5,96.5,96.5,500,48250.0,21-OCT-2022,1,IN002022Y278,
2,2,20MICRONS,EQ,92.0,93.95,90.0,90.5,90.45,91.25,89828,8194960.65,21-OCT-2022,2292,INE144J01027,
3,3,21STCENMGM,EQ,22.55,22.9,22.2,22.3,22.2,22.55,4494,101460.7,21-OCT-2022,109,INE253B01015,
4,4,364D060723,TB,94.5,94.5,94.5,94.5,94.5,95.0,2000,189000.0,21-OCT-2022,1,IN002022Z143,
5,5,364D121023,TB,93.4,93.4,93.4,93.4,93.4,93.25,1800,168120.0,21-OCT-2022,3,IN002022Z283,
6,6,364D290623,TB,94.2,94.2,94.2,94.2,94.2,94.2,100,9420.0,21-OCT-2022,1,IN002022Z135,
7,7,3IINFOLTD,EQ,42.15,42.45,41.55,41.85,41.85,41.9,307759,12874182.5,21-OCT-2022,2638,INE748C01038,
8,8,3MINDIA,EQ,23343.3,23490.0,22865.1,22954.7,22950.05,23227.15,2805,64581148.35,21-OCT-2022,1209,INE470A01017,
9,9,3PLAND,EQ,19.5,19.5,18.4,18.45,18.4,19.1,2551,47882.35,21-OCT-2022,197,INE105C01023,
10,10,426GS2023,GS,100.0,100.0,100.0,100.0,100.0,98.9,4051,405100.0,21-OCT-2022,2,IN0020210046,
11,11,4THDIM,EQ,92.45,92.45,89.05,90.05,90.0,90.65,45091,4104913.7,21-OCT-2022,660,INE382T01022,
12,12,522GS2025,GS,96.0,96.0,96.0,96.0,96.0,94.51,100,9600.0,21-OCT-2022,1,IN0020200112,
13,13,579GS2030,GS,90.0,90.0,90.0,90.0,90.0,89.36,200,18000.0,21-OCT-2022,1,IN0020200070,
14,14,5PAISA,EQ,349.0,350.95,332.0,335.05,336.7,347.5,44611,15154461.95,21-OCT-2022,2704,INE618L01018,
15,15,618GS2024,GS,101.65,101.65,101.64,101.64,101.64,99.0,23175,2355528.75,21-OCT-2022,2,IN0020190396,
16,16,63MOONS,EQ,164.25,167.25,159.95,161.55,162.4,163.2,44449,7293038.2,21-OCT-2022,1481,INE111B01023,
17,17,667GS2050,GS,93.2,96.0,93.0,94.0,94.0,93.0,1477,139963.3,21-OCT-2022,10,IN0020200252,
18,18,669GS2024,GS,101.3,101.3,101.3,101.3,101.3,101.3,5,506.5,21-OCT-2022,1,IN0020220052,
19,19,695GS2061,GS,97.5,97.5,97.5,97.5,97.5,95.06,1010,98475.0,21-OCT-2022,3,IN0020210202,
20,20,699GS2051,GS,97.5,97.75,96.6,96.64,96.6,97.3,1805,175420.65,21-OCT-2022,9,IN0020210194,
21,21,710GS2029,GS,100.0,100.0,99.04,99.04,99.04,102.2,700,69616.0,21-OCT-2022,4,IN0020220011,
22,22,726GS2032,GS,100.0,100.0,100.0,100.0,100.0,101.5,400,40000.0,21-OCT-2022,1,IN0020220060,
23,23,736GS2052,GS,99.95,100.0,99.75,99.75,99.75,99.6,13828,1381348.24,21-OCT-2022,7,IN0020220086,
24,24,738GS2027,GS,103.0,104.9,103.0,103.0,103.0,103.0,601,62853.0,21-OCT-2022,3,IN0020220037,
25,25,74GS2062,GS,101.0,101.0,101.0,101.0,101.0,97.1,50,5050.0,21-OCT-2022,1,IN0020220094,
26,26,754GS2036,GS,104.0,107.0,103.81,104.25,104.25,104.0,14079,1469717.5,21-OCT-2022,16,IN0020220029,
27,27,768GS2023,GS,103.4,103.7,103.4,103.7,103.7,103.66,2,207.1,21-OCT-2022,2,IN0020150010,
28,28,92GS2030,GS,114.0,114.0,114.0,114.0,114.0,111.25,50,5700.0,21-OCT-2022,1,IN0020130053,
29,29,A2ZINFRA,EQ,10.4,10.55,10.3,10.35,10.35,10.4,239513,2499386.7,21-OCT-2022,512,INE619I01012,
30,30,AAATECH,SM,71.0,71.0,70.3,70.65,70.3,74.0,9000,635850.0,21-OCT-2022,2,INE0D0U01013,
31,31,AAKASH,EQ,13.05,13.5,13.0,13.15,13.2,13.15,61006,802587.3,21-OCT-2022,381,INE087Z01024,
32,32,AAREYDRUGS,EQ,38.4,38.5,37.1,37.35,37.15,38.05,23399,882162.0,21-OCT-2022,404,INE198H01019,
33,33,AARON,BE,151.3,155.75,149.0,153.75,153.8,154.35,4931,751544.9,21-OCT-2022,206,INE721Z01010,
34,34,AARTIDRUGS,EQ,460.9,466.05,458.3,460.8,460.0,460.95,86973,40129391.1,21-OCT-2022,4814,INE767A01016,
35,35,AARTIIND,EQ,692.6,696.85,675.0,677.9,678.9,686.6,638757,437429564.45,21-OCT-2022,25688,INE769A01020,
36,36,AARTISURF,EQ,771.2,771.2,749.95,751.0,750.0,765.55,6320,4775980.15,21-OCT-2022,760,INE09EO01013,
37,37,AARVEEDEN,EQ,26.05,27.3,25.6,26.1,25.6,26.3,29581,785443.65,21-OCT-2022,257,INE273D01019,
38,38,AARVI,EQ,155.15,158.35,152.05,152.75,152.35,155.25,20892,3213591.9,21-OCT-2022,592,INE754X01016,
39,39,AAVAS,EQ,2065.0,2070.6,1970.05,1990.05,1998.0,2059.8,213451,425983900.8,21-OCT-2022,22441,INE216P01012,
40,40,ABAN,EQ,50.05,50.75,50.0,50.15,50.25,50.05,84633,4257685.55,21-OCT-2022,1088,INE421A01028,
41,41,ABB,EQ,3145.55,3175.35,3020.0,3041.25,3027.0,3132.8,364038,1120883020.8,21-OCT-2022,45857,INE117A01022,
42,42,ABBOTINDIA,EQ,18254.0,18745.45,18012.15,18527.8,18519.95,18167.95,15569,286010471.15,21-OCT-2022,4634,INE358A01014,
43,43,ABCAPITAL,EQ,111.6,113.25,110.2,111.3,111.15,111.4,1388157,155211338.0,21-OCT-2022,18759,INE674K01013,
44,44,ABCOTS,SM,49.4,49.6,48.5,48.5,48.5,46.5,24000,1175800.0,21-OCT-2022,6,INE08PH01015,
45,45,ABFRL,EQ,334.25,336.0,324.2,331.1,331.1,332.6,1411295,466251333.2,21-OCT-2022,19439,INE647O01011,
46,46,ABINFRA,SM,15.1,15.1,14.95,14.95,14.95,15.65,8000,120200.0,21-OCT-2022,2,INE00YB01017,
47,47,ABMINTLLTD,BE,70.25,70.25,66.75,70.25,70.25,70.25,774,52648.0,21-OCT-2022,22,INE251C01025,
48,48,ABSLAMC,EQ,433.05,436.95,421.5,426.6,426.0,433.05,44758,19322384.5,21-OCT-2022,2526,INE404A01024,
49,49,ABSLBANETF,EQ,40.48,41.01,40.39,40.92,41.01,40.19,17675,720506.79,21-OCT-2022,187,INF209KB17D5,
50,50,ABSLNN50ET,EQ,43.27,43.76,42.66,42.93,43.5,43.27,1674,71966.3,21-OCT-2022,98,INF209KB16D7,
51,51,ACC,EQ,2271.0,2300.0,2241.05,2256.55,2257.0,2287.6,389554,882972215.65,21-OCT-2022,24067,INE012A01025,
52,52,ACCELYA,EQ,1228.0,1244.4,1186.0,1192.8,1186.25,1217.35,69133,83630175.2,21-OCT-2022,5532,INE793A01012,
53,53,ACCURACY,EQ,259.0,259.0,247.5,253.8,254.5,254.35,38382,9663729.0,21-OCT-2022,847,INE648Z01015,
54,54,ACE,EQ,288.9,297.25,280.45,283.4,283.7,287.9,354290,102228000.6,21-OCT-2022,11482,INE731H01025,
55,55,ACEINTEG,SM,48.6,48.6,48.6,48.6,48.6,46.3,9000,437400.0,21-OCT-2022,2,INE543V01017,
56,56,ACRYSIL,EQ,551.0,559.95,535.5,549.8,549.0,548.9,79840,43815072.65,21-OCT-2022,5102,INE482D01024,
57,57,ADANIENT,EQ,3374.9,3382.0,3287.0,3311.9,3309.75,3357.1,1120790,3738369840.15,21-OCT-2022,41865,INE423A01024,
58,58,ADANIGREEN,EQ,2149.6,2164.5,2075.25,2105.3,2106.9,2138.9,5902738,12473114914.35,21-OCT-2022,78274,INE364U01010,
