,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
0,20MICRONS,EQ,92.4,96.3,92.4,94.9,94.5,93.2,181872,17270211.4,02-DEC-2022,3159,INE144J01027,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5
1,21STCENMGM,EQ,22.55,22.8,22.15,22.3,22.25,22.45,7331,164153.8,02-DEC-2022,79,INE253B01015,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10
2,3IINFOLTD,EQ,43.55,43.65,42.6,43.1,43.3,42.9,385157,16633554.75,02-DEC-2022,2323,INE748C01038,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10
3,3MINDIA,EQ,23210.25,23383.85,23000.0,23149.35,23135.0,23386.95,2258,52316180.1,02-DEC-2022,853,INE470A01017,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
4,3PLAND,EQ,17.5,18.1,17.0,17.7,17.7,17.5,13261,234998.65,02-DEC-2022,293,INE105C01023,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2
5,4THDIM,EQ,89.0,89.45,87.2,89.45,89.45,87.7,98522,8773205.3,02-DEC-2022,185,INE382T01022,Fourth Dimension Solutions Limited,EQ,06-SEP-2022,10,1,INE382T01022,10
6,5PAISA,EQ,316.0,333.9,310.55,328.25,328.95,314.65,121685,39629572.85,02-DEC-2022,4506,INE618L01018,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10
7,63MOONS,EQ,153.0,154.0,148.5,151.15,152.0,152.4,84266,12732166.15,02-DEC-2022,2574,INE111B01023,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2
8,A2ZINFRA,EQ,11.55,11.55,11.05,11.2,11.15,11.35,251512,2837594.5,02-DEC-2022,572,INE619I01012,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10
9,AAATECH,EQ,74.0,74.0,71.6,71.75,71.6,73.25,8000,580391.45,02-DEC-2022,280,INE0D0U01013,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10
10,AAKASH,EQ,7.6,7.6,7.05,7.05,7.05,7.4,2084197,14726022.6,02-DEC-2022,2330,INE087Z01024,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1
11,AAREYDRUGS,EQ,37.2,40.8,37.2,40.05,40.3,37.4,221245,8798743.85,02-DEC-2022,1446,INE198H01019,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10,1,INE198H01019,10
12,AARON,BE,156.2,158.55,156.2,157.8,157.75,158.55,2605,410328.55,02-DEC-2022,110,INE721Z01010,Aaron Industries Limited,BE,06-NOV-2020,10,1,INE721Z01010,10
13,AARTIDRUGS,EQ,449.0,451.9,444.0,446.05,448.0,449.05,44748,20035189.4,02-DEC-2022,2961,INE767A01016,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10
14,AARTIIND,EQ,678.0,678.0,670.4,673.9,674.4,674.6,678099,456348198.45,02-DEC-2022,23691,INE769A01020,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
15,AARTISURF,EQ,717.25,719.0,708.0,710.65,713.0,714.05,8900,6330645.25,02-DEC-2022,1333,INE09EO01013,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10
16,AARVEEDEN,EQ,26.7,26.7,24.75,25.85,25.25,25.85,17541,449440.15,02-DEC-2022,249,INE273D01019,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10,1,INE273D01019,10
17,AARVI,EQ,185.0,192.0,181.1,182.5,182.95,187.3,45177,8361258.2,02-DEC-2022,1074,INE754X01016,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10
18,AAVAS,EQ,1925.0,1925.0,1887.15,1914.35,1917.0,1900.05,82647,157691164.8,02-DEC-2022,9744,INE216P01012,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
19,ABAN,EQ,48.1,49.4,48.1,49.1,49.1,49.25,89018,4356880.75,02-DEC-2022,1437,INE421A01028,Aban Offshore Limited,EQ,29-MAR-1995,2,1,INE421A01028,2
20,ABB,EQ,2995.35,3009.0,2922.2,2978.1,2976.2,2993.85,440688,1303647250.25,02-DEC-2022,37453,INE117A01022,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
21,ABBOTINDIA,EQ,20550.0,20550.0,20100.0,20182.9,20250.0,20555.65,9399,190470936.05,02-DEC-2022,3666,INE358A01014,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
22,ABCAPITAL,EQ,145.25,153.3,145.0,151.7,151.35,145.7,16353750,2461382411.6,02-DEC-2022,86221,INE674K01013,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
23,ABFRL,EQ,315.5,319.0,312.5,317.2,316.45,316.0,1152714,363900517.6,02-DEC-2022,12488,INE647O01011,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
24,ABMINTLLTD,BE,68.0,69.0,65.3,69.0,69.0,68.0,56,3688.0,02-DEC-2022,4,INE251C01025,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10
25,ABSLAMC,EQ,434.5,441.0,432.45,433.95,433.75,434.85,112319,48777376.85,02-DEC-2022,3574,INE404A01024,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5
26,ACC,EQ,2589.0,2625.65,2555.0,2609.3,2610.0,2577.35,816152,2118446349.35,02-DEC-2022,48342,INE012A01025,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
27,ACCELYA,EQ,1658.0,1740.2,1621.1,1707.3,1710.0,1655.75,117432,199166368.25,02-DEC-2022,10328,INE793A01012,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
28,ACCURACY,EQ,184.15,185.0,181.0,181.95,182.3,184.15,21784,3985947.35,02-DEC-2022,457,INE648Z01015,Accuracy Shipping Limited,EQ,11-DEC-2020,10,1,INE648Z01015,10
29,ACE,EQ,333.6,336.65,330.0,331.25,331.7,333.55,262379,87425222.9,02-DEC-2022,6058,INE731H01025,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
30,ACEINTEG,EQ,52.55,57.6,52.55,56.5,56.2,54.9,11168,631621.8,02-DEC-2022,153,INE543V01017,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
31,ACI,EQ,530.85,538.8,515.35,521.95,521.1,530.85,270405,142807933.55,02-DEC-2022,10870,INE128X01021,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2
32,ADANIENT,EQ,3905.0,3963.8,3885.0,3922.5,3915.0,3915.1,1297832,5091101029.1,02-DEC-2022,53440,INE423A01024,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
33,ADANIGREEN,EQ,2113.0,2117.0,2051.0,2062.3,2062.0,2113.55,527810,1095796856.95,02-DEC-2022,34217,INE364U01010,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
34,ADANIPORTS,EQ,894.0,903.6,884.25,888.2,886.1,890.55,6279538,5614018002.95,02-DEC-2022,77944,INE742F01042,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
35,ADANIPOWER,EQ,329.0,330.35,324.0,325.3,326.0,330.4,2332809,760305656.6,02-DEC-2022,44750,INE814H01011,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10
36,ADANITRANS,EQ,2849.95,2849.95,2725.0,2745.7,2745.0,2834.25,880661,2424401097.8,02-DEC-2022,55053,INE931S01010,Adani Transmission Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
37,ADFFOODS,EQ,824.95,833.2,811.05,816.5,815.0,836.6,11985,9862769.65,02-DEC-2022,1355,INE982B01019,ADF Foods Limited,EQ,15-SEP-2010,10,1,INE982B01019,10
38,ADL,BE,64.15,66.9,62.8,66.2,66.2,64.15,124,7852.05,02-DEC-2022,17,INE0CHO01012,Archidply Decor Limited,BE,01-OCT-2020,10,1,INE0CHO01012,10
39,ADORWELD,EQ,846.15,879.9,838.9,871.95,865.0,842.1,14049,12148080.5,02-DEC-2022,1923,INE045A01017,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
40,ADROITINFO,EQ,22.0,22.25,20.5,21.05,20.85,21.25,124278,2623306.1,02-DEC-2022,921,INE737B01033,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10
41,ADSL,EQ,106.0,106.85,105.4,105.8,106.5,105.8,78996,8383015.6,02-DEC-2022,1571,INE102I01027,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5
42,ADVANIHOTR,EQ,81.8,82.95,81.45,81.85,82.0,81.0,18900,1552140.05,02-DEC-2022,276,INE199C01026,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
43,ADVENZYMES,EQ,280.45,286.7,279.15,283.6,283.35,280.8,55543,15723162.5,02-DEC-2022,3097,INE837H01020,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2
44,AEGISCHEM,EQ,326.0,331.35,325.0,330.55,330.7,326.45,362482,119411197.35,02-DEC-2022,13969,INE208C01025,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
45,AETHER,EQ,916.0,916.0,903.0,907.5,909.5,908.85,18648,16992567.3,02-DEC-2022,1475,INE0BWX01014,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10
46,AFFLE,EQ,1248.0,1248.0,1230.0,1233.45,1234.6,1248.6,107396,132709995.3,02-DEC-2022,9253,INE00WC01027,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
47,AGARIND,EQ,634.0,659.0,627.0,650.7,655.0,631.6,70650,45798946.35,02-DEC-2022,4713,INE204E01012,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10
