,Unnamed: 0,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,0,182D300323,TB,96.6,96.7,96.6,96.7,96.7,96.5,5400,522130.0,27-OCT-2022,5,IN002022Y278,
1,1,20MICRONS,EQ,89.9,91.95,87.4,88.25,88.35,89.65,189125,16861669.4,27-OCT-2022,3755,INE144J01027,
2,2,21STCENMGM,EQ,22.05,22.05,21.75,22.0,22.0,22.1,2454,53690.25,27-OCT-2022,52,INE253B01015,
3,3,364D140923,TB,99.03,99.03,99.03,99.03,99.03,94.32,100,9903.0,27-OCT-2022,1,IN002022Z242,
4,4,364D191023,TB,90.0,90.0,90.0,90.0,90.0,88.89,100,9000.0,27-OCT-2022,1,IN002022Z291,
5,5,3IINFOLTD,EQ,45.4,45.8,44.1,44.3,44.4,44.95,456091,20493802.65,27-OCT-2022,4419,INE748C01038,
6,6,3MINDIA,EQ,23171.0,23248.0,22506.6,22610.3,22550.0,22922.1,1547,35310986.8,27-OCT-2022,996,INE470A01017,
7,7,3PLAND,EQ,17.8,17.95,16.7,16.95,16.95,17.45,14782,252603.85,27-OCT-2022,184,INE105C01023,
8,8,456GS2023,GS,99.23,99.23,99.23,99.23,99.23,98.5,155000,15380650.0,27-OCT-2022,1,IN0020210210,
9,9,4THDIM,EQ,85.1,85.1,85.1,85.1,85.1,86.8,1137,96758.7,27-OCT-2022,35,INE382T01022,
10,10,574GS2026,GS,95.66,95.66,95.66,95.66,95.66,95.66,1300,124358.0,27-OCT-2022,3,IN0020210186,
11,11,579GS2030,GS,90.0,90.0,90.0,90.0,90.0,90.0,500,45000.0,27-OCT-2022,1,IN0020200070,
12,12,5PAISA,EQ,331.0,340.0,331.0,335.0,336.0,333.45,21401,7203737.3,27-OCT-2022,1230,INE618L01018,
13,13,63MOONS,EQ,165.8,168.25,160.0,162.85,163.1,166.6,44284,7265353.4,27-OCT-2022,1628,INE111B01023,
14,14,667GS2050,GS,94.0,94.5,94.0,94.5,94.5,95.39,311,29237.0,27-OCT-2022,8,IN0020200252,
15,15,669GS2024,GS,100.26,100.26,100.26,100.26,100.26,100.15,100,10026.0,27-OCT-2022,1,IN0020220052,
16,16,695GS2061,GS,96.0,96.0,96.0,96.0,96.0,95.0,100,9600.0,27-OCT-2022,1,IN0020210202,
17,17,699GS2051,GS,97.0,97.14,97.0,97.14,97.14,97.14,876,85087.64,27-OCT-2022,8,IN0020210194,
18,18,710GS2029,GS,101.9,101.9,101.9,101.9,101.9,100.15,300,30570.0,27-OCT-2022,2,IN0020220011,
19,19,726GS2032,GS,101.0,101.95,100.55,101.62,101.5,100.0,17937,1819600.55,27-OCT-2022,25,IN0020220060,
20,20,732GS2024,GS,97.91,97.91,97.91,97.91,97.91,103.0,100,9791.0,27-OCT-2022,1,IN0020180488,
21,21,736GS2052,GS,101.0,101.0,99.99,99.99,100.0,100.0,1101,110297.99,27-OCT-2022,7,IN0020220086,
22,22,738GS2027,GS,103.0,103.65,102.3,102.7,103.65,103.0,6201,641289.6,27-OCT-2022,10,IN0020220037,
23,23,754GS2036,GS,105.78,107.85,104.55,105.99,105.5,105.78,40090,4214483.97,27-OCT-2022,40,IN0020220029,
24,24,763GS2059,GS,110.0,110.0,110.0,110.0,110.0,105.0,147,16170.0,27-OCT-2022,8,IN0020190057,
25,25,91D081222,TB,100.81,100.81,99.0,99.0,99.0,96.01,300,30062.0,27-OCT-2022,2,IN002022X239,
26,26,91D120123,TB,96.4,96.4,96.4,96.4,96.4,95.01,100,9640.0,27-OCT-2022,1,IN002022X288,
27,27,91D151222,TB,101.91,101.91,101.91,101.91,101.91,97.06,200,20382.0,27-OCT-2022,1,IN002022X247,
28,28,91D241122,TB,98.0,98.0,98.0,98.0,98.0,97.04,500,49000.0,27-OCT-2022,1,IN002022X213,
29,29,92GS2030,GS,114.0,119.0,114.0,119.0,119.0,114.0,501,57134.0,27-OCT-2022,4,IN0020130053,
30,30,A2ZINFRA,EQ,10.05,10.8,10.05,10.3,10.2,10.35,361685,3765357.7,27-OCT-2022,530,INE619I01012,
31,31,AAATECH,SM,67.0,67.0,66.7,66.7,66.7,70.2,18000,1201950.0,27-OCT-2022,4,INE0D0U01013,
32,32,AAKASH,EQ,12.35,13.0,11.8,12.4,12.4,12.3,386316,4744049.25,27-OCT-2022,900,INE087Z01024,
33,33,AAREYDRUGS,EQ,38.1,38.1,35.85,37.4,37.9,37.65,29024,1084854.85,27-OCT-2022,435,INE198H01019,
34,34,AARON,BE,158.95,158.95,152.0,155.9,156.0,156.3,3735,576469.15,27-OCT-2022,140,INE721Z01010,
35,35,AARTIDRUGS,EQ,462.5,468.5,462.1,466.5,467.85,460.05,53674,25002263.15,27-OCT-2022,3425,INE767A01016,
36,36,AARTIIND,EQ,691.0,698.0,689.9,691.65,695.0,687.15,472206,327367365.2,27-OCT-2022,21589,INE769A01020,
37,37,AARTISURF,EQ,757.25,757.25,733.0,736.3,738.0,748.3,4456,3298289.15,27-OCT-2022,807,INE09EO01013,
38,38,AARVEEDEN,EQ,26.3,26.3,25.3,25.55,25.55,25.85,5611,143625.15,27-OCT-2022,88,INE273D01019,
39,39,AARVI,EQ,156.1,157.65,151.5,154.0,154.05,156.1,21123,3252197.15,27-OCT-2022,563,INE754X01016,
40,40,AAVAS,EQ,1978.9,1997.7,1965.0,1988.65,1981.0,1971.9,45328,90067195.8,27-OCT-2022,11675,INE216P01012,
41,41,ABAN,EQ,49.9,50.75,49.55,49.85,49.6,49.7,90230,4521184.75,27-OCT-2022,1316,INE421A01028,
42,42,ABB,EQ,3074.0,3078.0,3006.15,3039.4,3043.15,3055.25,250705,762776882.65,27-OCT-2022,30559,INE117A01022,
43,43,ABBOTINDIA,EQ,18575.9,18950.0,18492.3,18878.05,18855.7,18478.6,15080,282977667.85,27-OCT-2022,5332,INE358A01014,
44,44,ABCAPITAL,EQ,116.2,117.6,115.35,117.35,117.35,115.9,2834659,330124409.4,27-OCT-2022,16014,INE674K01013,
