,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
0,20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5
1,21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10
2,3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10
3,3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
4,3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2
5,4THDIM,Fourth Dimension Solutions Limited,EQ,06-SEP-2022,10,1,INE382T01022,10
6,5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10
7,63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2
8,A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10
9,AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10
10,AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1
11,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10,1,INE198H01019,10
12,AARON,Aaron Industries Limited,BE,06-NOV-2020,10,1,INE721Z01010,10
13,AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10
14,AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
15,AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10
16,AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10,1,INE273D01019,10
17,AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10
18,AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
19,ABAN,Aban Offshore Limited,EQ,29-MAR-1995,2,1,INE421A01028,2
20,ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
21,ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
22,ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
23,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
24,ABMINTLLTD,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10
25,ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5
26,ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
27,ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
28,ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,10,1,INE648Z01015,10
29,ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
30,ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
31,ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2
32,ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
33,ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
34,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
35,ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10
36,ADANITRANS,Adani Transmission Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
37,ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,10,1,INE982B01019,10
38,ADL,Archidply Decor Limited,BE,01-OCT-2020,10,1,INE0CHO01012,10
39,ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
40,ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10
41,ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5
42,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
43,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2
44,AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
45,AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10
46,AFFLE,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
47,AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10
48,AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2
49,AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10
50,AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10
51,AGSTRA,AGS Transact Technologies Limited,EQ,31-JAN-2022,10,1,INE583L01014,10
52,AHLADA,Ahlada Engineers Limited,BE,28-JAN-2021,10,1,INE00PV01013,10
53,AHLEAST,Asian Hotels (East) Limited,BE,11-AUG-2010,10,1,INE926K01017,10
54,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2
55,AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2
56,AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2
57,AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10
58,AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2
59,AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10
60,AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2
61,AJRINFRA,AJR INFRA AND TOLLING LIMITED,EQ,03-APR-2008,2,1,INE181G01025,2
62,AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10
63,AKG,Akg Exim Limited,BE,16-FEB-2021,10,1,INE00Y801016,10
64,AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,10,1,INE256Z01017,10
65,AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10
66,AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5
67,AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10
68,ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1
69,ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10
70,ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2
71,ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5
72,ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10
73,ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2
74,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2
75,ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
